A_team,B_team,A_score,B_score,A_xg,B_xg,A_standings,B_standings,season,target
Napoli,Empoli,5,1,2.45,0.77,3,18,2018/2019,1
Frosinone,AC Milan,3,3,0.65,3.59,19,6,2015/2016,0
Chievo,SPAL 2013,0,0,0.94,0.59,20,16,2018/2019,0
Sampdoria,Lazio,0,4,0.28,2.64,9,5,2017/2018,0
Empoli,Udinese,2,3,1.84,2.22,17,16,2018/2019,0
Chievo,Sampdoria,1,1,0.22,1.13,14,11,2016/2017,0
Udinese,Juventus,1,0,0.87,1.82,15,10,2015/2016,0
Fiorentina,Juventus,0,3,1.16,1.74,10,1,2018/2019,1
Sampdoria,Verona,4,1,2.85,0.63,12,19,2015/2016,1
Torino,Udinese,0,1,0.6,1.88,10,14,2019/2020,0
Napoli,Fiorentina,1,0,1.32,0.35,6,4,2018/2019,1
Frosinone,Empoli,2,1,1.03,2.54,19,9,2015/2016,0
Juventus,Fiorentina,0,0,0.32,1.48,2,17,2019/2020,0
Sampdoria,Carpi,1,2,2.31,1.34,14,19,2015/2016,0
SPAL 2013,Parma Calcio 1913,1,0,1.13,1.39,20,9,2019/2020,0
Udinese,Torino,0,1,1.03,1.54,12,17,2020/2021,1
Sassuolo,Parma Calcio 1913,4,1,2.42,0.34,15,20,2014/2015,1
Verona,Brescia,0,2,0.67,1.12,8,20,2019/2020,0
Sampdoria,Inter,0,5,0.48,3.66,7,5,2017/2018,1
Brescia,Juventus,1,2,0.69,1.88,10,2,2019/2020,1
Udinese,Cagliari,0,1,0.76,1.38,12,18,2020/2021,1
Atalanta,AC Milan,1,1,2.14,0.46,2,6,2019/2020,0
Frosinone,Chievo,0,0,0.56,0.02,19,20,2018/2019,1
Inter,Chievo,0,0,0.9,0.86,8,12,2014/2015,1
Torino,Udinese,0,1,0.5,1.52,12,16,2015/2016,1
Fiorentina,Bologna,1,1,0.47,1.02,3,10,2015/2016,0
Napoli,Sampdoria,2,0,1.9,0.9,5,10,2020/2021,0
Lazio,Empoli,0,1,0.92,0.28,9,16,2015/2016,0
Sampdoria,Roma,1,2,1.24,2.14,16,5,2019/2020,0
Chievo,Parma Calcio 1913,2,3,1.35,0.93,11,20,2014/2015,1
Napoli,Palermo,3,0,1.89,0.59,6,14,2016/2017,0
Napoli,Bologna,1,0,1.41,0.73,4,14,2020/2021,0
Crotone,AC Milan,0,3,0.3,2.09,9,6,2017/2018,1
Carpi,Lazio,1,3,3.44,1.98,17,8,2015/2016,1
Torino,Fiorentina,1,2,0.54,2.19,10,9,2017/2018,1
Fiorentina,Crotone,0,0,0.47,2.41,14,19,2020/2021,0
Lazio,Chievo,0,0,0.56,0.34,6,18,2014/2015,0
Empoli,Carpi,3,0,1.76,1.4,11,19,2015/2016,1
Palermo,Sampdoria,2,0,1.3,0.45,18,15,2015/2016,1
Inter,Fiorentina,4,3,1.7,2.25,13,6,2020/2021,1
Sampdoria,Cagliari,2,2,1.65,1.25,6,13,2017/2018,0
Napoli,Roma,2,0,1.07,0.73,6,5,2020/2021,0
Bologna,Cagliari,2,0,3.33,0.53,18,14,2018/2019,1
Benevento,Crotone,1,1,1.8,1.1,18,19,2020/2021,1
Cagliari,Verona,1,1,2.14,2.2,5,16,2019/2020,1
Genoa,Atalanta,1,3,1.15,1.56,11,6,2017/2018,0
Spezia,Sampdoria,2,1,1.72,0.43,15,11,2020/2021,1
Inter,Juventus,0,0,0.28,0.99,1,3,2017/2018,0
Sampdoria,Genoa,2,0,2.47,0.74,9,14,2018/2019,1
Chievo,Torino,1,1,1.38,2.86,11,9,2017/2018,0
Palermo,Inter,1,3,0.77,1.02,17,5,2015/2016,0
Fiorentina,Juventus,3,0,1.53,0.39,16,4,2020/2021,0
Udinese,Verona,0,0,0.79,1.08,16,7,2019/2020,1
Crotone,Udinese,2,1,0.5,0.69,18,14,2017/2018,0
Juventus,Atalanta,2,2,1.39,2.21,1,5,2016/2017,0
Lazio,Sassuolo,2,1,1.79,1.26,6,8,2016/2017,1
Udinese,Atalanta,2,3,0.74,2.63,12,3,2020/2021,0
Benevento,Sassuolo,0,1,0.39,1.28,16,8,2020/2021,1
Chievo,Empoli,3,1,1.08,1.24,7,8,2015/2016,0
