A_team,B_team,A_score,B_score,A_standings,B_standings,season,target,total_goals,match_id,delta_score,delta_standings
Lazio,Genoa,0,1,6,11,2014/2015,1,1,216,-1,-5
Parma Calcio 1913,Chievo,0,1,20,18,2014/2015,1,1,217,-1,2
Palermo,Napoli,3,1,9,3,2014/2015,1,4,218,2,6
Sassuolo,Fiorentina,1,3,12,4,2014/2015,1,4,219,-2,8
AC Milan,Empoli,1,1,11,15,2014/2015,1,2,220,0,-4
Atalanta,Inter,1,4,16,11,2014/2015,1,5,221,-3,5
Cesena,Juventus,2,2,19,1,2014/2015,1,4,222,0,18
Chievo,Sampdoria,2,1,17,5,2014/2015,1,3,223,1,12
Genoa,Verona,5,2,9,16,2014/2015,1,7,224,3,-7
Roma,Parma Calcio 1913,0,0,2,20,2014/2015,1,0,225,0,-18
Torino,Cagliari,1,1,10,18,2014/2015,1,2,226,0,-8
Udinese,Lazio,0,1,13,7,2014/2015,1,1,227,-1,6
Juventus,Atalanta,2,1,1,17,2014/2015,1,3,228,1,-16
AC Milan,Cesena,2,0,11,19,2014/2015,1,2,229,2,-8
Empoli,Chievo,3,0,14,15,2014/2015,1,3,230,3,-1
Fiorentina,Torino,1,1,4,11,2014/2015,1,2,231,0,-7
Lazio,Palermo,2,1,5,10,2014/2015,1,3,232,1,-5
Verona,Roma,1,1,16,2,2014/2015,1,2,233,0,14
Cagliari,Inter,1,2,18,11,2014/2015,1,3,234,-1,7
Napoli,Sassuolo,2,0,3,12,2014/2015,1,2,235,2,-9
Sampdoria,Genoa,1,1,8,7,2014/2015,1,2,236,0,1
Chievo,AC Milan,0,0,16,9,2014/2015,1,0,237,0,7
Atalanta,Sampdoria,1,2,17,7,2014/2015,1,3,238,-1,10
Cagliari,Verona,1,2,18,16,2014/2015,1,3,239,-1,2
Cesena,Udinese,1,0,19,13,2014/2015,1,1,240,1,6
Inter,Fiorentina,0,1,8,5,2014/2015,1,1,241,-1,3
Palermo,Empoli,0,0,11,15,2014/2015,1,0,242,0,-4
Sassuolo,Lazio,0,3,12,5,2014/2015,1,3,243,-3,7
Torino,Napoli,1,0,11,3,2014/2015,1,1,244,1,8
Roma,Juventus,1,1,2,1,2014/2015,1,2,245,0,1
AC Milan,Verona,2,2,10,15,2014/2015,1,4,246,0,-5
Sampdoria,Cagliari,2,0,6,18,2014/2015,1,2,247,2,-12
Cesena,Palermo,0,0,19,11,2014/2015,1,0,248,0,8
Chievo,Roma,0,0,16,2,2014/2015,1,0,249,0,14
Empoli,Genoa,1,1,14,7,2014/2015,1,2,250,0,7
Napoli,Inter,2,2,3,9,2014/2015,1,4,251,0,-6
Parma Calcio 1913,Atalanta,0,0,20,17,2014/2015,1,0,252,0,3
Udinese,Torino,3,2,15,9,2014/2015,1,5,253,1,6
Juventus,Sassuolo,1,0,1,14,2014/2015,1,1,254,1,-13
Lazio,Fiorentina,4,0,4,5,2014/2015,1,4,255,4,-1
Cagliari,Empoli,1,1,18,13,2014/2015,1,2,256,0,5
Palermo,Juventus,0,1,11,1,2014/2015,1,1,257,-1,10
Atalanta,Udinese,0,0,17,12,2014/2015,1,0,258,0,5
Genoa,Chievo,0,2,7,16,2014/2015,1,2,259,-2,-9
Inter,Cesena,1,1,8,19,2014/2015,1,2,260,0,-11
Sassuolo,Parma Calcio 1913,4,1,15,20,2014/2015,1,5,261,3,-5
Verona,Napoli,2,0,16,4,2014/2015,1,2,262,2,12
Fiorentina,AC Milan,2,1,5,10,2014/2015,1,3,263,1,-5
Roma,Sampdoria,0,2,2,6,2014/2015,1,2,264,-2,-4
Torino,Lazio,0,2,9,3,2014/2015,1,2,265,-2,6
AC Milan,Cagliari,3,1,10,18,2014/2015,1,4,266,2,-8
Chievo,Palermo,1,0,16,11,2014/2015,1,1,267,1,5
Cesena,Roma,0,1,19,2,2014/2015,1,1,268,-1,17
Empoli,Sassuolo,3,1,16,13,2014/2015,1,4,269,2,3
Juventus,Genoa,1,0,1,9,2014/2015,1,1,270,1,-8
Lazio,Verona,2,0,3,16,2014/2015,1,2,271,2,-13
Napoli,Atalanta,1,1,4,17,2014/2015,1,2,272,0,-13
Parma Calcio 1913,Torino,0,2,20,10,2014/2015,1,2,273,-2,10
Sampdoria,Inter,1,0,6,9,2014/2015,1,1,274,1,-3
Udinese,Fiorentina,2,2,13,6,2014/2015,1,4,275,0,7
Atalanta,Torino,1,2,17,7,2014/2015,1,3,276,-1,10
Cagliari,Lazio,1,3,18,3,2014/2015,1,4,277,-2,15
Fiorentina,Sampdoria,2,0,6,4,2014/2015,1,2,278,2,2
Genoa,Udinese,1,1,10,13,2014/2015,1,2,279,0,-3
Inter,Parma Calcio 1913,1,1,10,20,2014/2015,1,2,280,0,-10
Juventus,Empoli,2,0,1,13,2014/2015,1,2,281,2,-12
Palermo,AC Milan,1,2,11,8,2014/2015,1,3,282,-1,3
Roma,Napoli,1,0,3,6,2014/2015,1,1,283,1,-3
Sassuolo,Chievo,1,0,15,14,2014/2015,1,1,284,1,1
Verona,Cesena,3,3,16,19,2014/2015,1,6,285,0,-3
Parma Calcio 1913,Udinese,1,0,20,13,2014/2015,1,1,286,1,7
Genoa,Cagliari,2,0,10,19,2014/2015,1,2,287,2,-9
Parma Calcio 1913,Juventus,1,0,20,1,2014/2015,1,1,288,1,19
Verona,Inter,0,3,15,10,2014/2015,1,3,289,-3,5
AC Milan,Sampdoria,1,1,9,5,2014/2015,1,2,290,0,4
Atalanta,Sassuolo,2,1,17,12,2014/2015,1,3,291,1,5
Cesena,Chievo,0,1,18,16,2014/2015,1,1,292,-1,2
Lazio,Empoli,4,0,3,15,2014/2015,1,4,293,4,-12
Napoli,Fiorentina,3,0,6,4,2014/2015,1,3,294,3,2
Torino,Roma,1,1,8,3,2014/2015,1,2,295,0,5
Udinese,Palermo,1,3,14,11,2014/2015,1,4,296,-2,3
Genoa,Parma Calcio 1913,2,0,10,20,2014/2015,1,2,297,2,-10
Juventus,Lazio,2,0,1,2,2014/2015,1,2,298,2,-1
Sampdoria,Cesena,0,0,6,18,2014/2015,1,0,299,0,-12
Cagliari,Napoli,0,3,19,4,2014/2015,1,3,300,-3,15
Chievo,Udinese,1,1,12,14,2014/2015,1,2,301,0,-2
Empoli,Parma Calcio 1913,2,2,15,20,2014/2015,1,4,302,0,-5
Inter,AC Milan,0,0,10,9,2014/2015,1,0,303,0,1
Palermo,Genoa,2,1,11,7,2014/2015,1,3,304,1,4
Roma,Atalanta,1,1,3,17,2014/2015,1,2,305,0,-14
Sassuolo,Torino,1,1,14,9,2014/2015,1,2,306,0,5
Fiorentina,Verona,0,1,6,16,2014/2015,1,1,307,-1,-10
Inter,Roma,2,1,10,3,2014/2015,1,3,308,1,7
Udinese,AC Milan,2,1,15,10,2014/2015,1,3,309,1,5
Atalanta,Empoli,2,2,17,16,2014/2015,1,4,310,0,1
Fiorentina,Cagliari,1,3,6,19,2014/2015,1,4,311,-2,-13
Genoa,Cesena,3,1,8,19,2014/2015,1,4,312,2,-11
Lazio,Chievo,1,1,2,13,2014/2015,1,2,313,0,-11
Napoli,Sampdoria,4,2,4,5,2014/2015,1,6,314,2,-1
Parma Calcio 1913,Palermo,1,0,20,11,2014/2015,1,1,315,1,9
Torino,Juventus,2,1,9,1,2014/2015,1,3,316,1,8
Verona,Sassuolo,3,2,15,14,2014/2015,1,5,317,1,1
Udinese,Inter,1,2,13,9,2014/2015,1,3,318,-1,4
AC Milan,Genoa,1,3,10,8,2014/2015,1,4,319,-2,2
Cesena,Atalanta,2,2,19,17,2014/2015,1,4,320,0,2
Chievo,Cagliari,1,0,14,18,2014/2015,1,1,321,1,-4
Juventus,Fiorentina,3,2,1,7,2014/2015,1,5,322,1,-6
Lazio,Parma Calcio 1913,4,0,2,20,2014/2015,1,4,323,4,-18
Palermo,Torino,2,2,11,9,2014/2015,1,4,324,0,2
Sampdoria,Verona,1,1,6,13,2014/2015,1,2,325,0,-7
Sassuolo,Roma,0,3,15,3,2014/2015,1,3,326,-3,12
Empoli,Napoli,4,2,16,4,2014/2015,1,6,327,2,12
Sampdoria,Juventus,0,1,5,1,2014/2015,1,1,328,-1,4
Sassuolo,Palermo,0,0,16,11,2014/2015,1,0,329,0,5
Atalanta,Lazio,1,1,17,2,2014/2015,1,2,330,0,15
Fiorentina,Cesena,3,1,7,19,2014/2015,1,4,331,2,-12
Inter,Chievo,0,0,8,12,2014/2015,1,0,332,0,-4
Napoli,AC Milan,3,0,4,10,2014/2015,1,3,333,3,-6
Roma,Genoa,2,0,3,7,2014/2015,1,2,334,2,-4
Verona,Udinese,0,1,13,15,2014/2015,1,1,335,-1,-2
Cagliari,Parma Calcio 1913,4,0,18,20,2014/2015,1,4,336,4,-2
Torino,Empoli,0,1,9,15,2014/2015,1,1,337,-1,-6
AC Milan,Roma,2,1,10,2,2014/2015,1,3,338,1,8
Juventus,Cagliari,1,1,1,18,2014/2015,1,2,339,0,-17
Cesena,Sassuolo,2,3,19,16,2014/2015,1,5,340,-1,3
Chievo,Verona,2,2,14,16,2014/2015,1,4,341,0,-2
Empoli,Fiorentina,2,3,13,5,2014/2015,1,5,342,-1,8
Lazio,Inter,1,2,3,8,2014/2015,1,3,343,-1,-5
Palermo,Atalanta,2,3,11,17,2014/2015,1,5,344,-1,-6
Parma Calcio 1913,Napoli,2,2,20,4,2014/2015,1,4,345,0,16
Udinese,Sampdoria,1,4,14,7,2014/2015,1,5,346,-3,7
Genoa,Torino,5,1,8,9,2014/2015,1,6,347,4,-1
Inter,Juventus,1,2,8,1,2014/2015,1,3,348,-1,7
Sampdoria,Lazio,0,1,6,3,2014/2015,1,1,349,-1,3
Atalanta,Genoa,1,4,17,7,2014/2015,1,5,350,-3,10
Cagliari,Palermo,0,1,18,11,2014/2015,1,1,351,-1,7
Roma,Udinese,2,1,3,14,2014/2015,1,3,352,1,-11
Sassuolo,AC Milan,3,2,16,10,2014/2015,1,5,353,1,6
Torino,Chievo,2,0,9,13,2014/2015,1,2,354,2,-4
Verona,Empoli,2,1,16,14,2014/2015,1,3,355,1,2
Fiorentina,Parma Calcio 1913,3,0,6,20,2014/2015,1,3,356,3,-14
Napoli,Cesena,3,2,4,19,2014/2015,1,5,357,1,-15
Genoa,Inter,3,2,6,8,2014/2015,1,5,358,1,-2
Juventus,Napoli,3,1,1,4,2014/2015,1,4,359,2,-3
AC Milan,Torino,3,0,10,9,2014/2015,1,3,360,3,1
Cesena,Cagliari,0,1,19,18,2014/2015,1,1,361,-1,1
Chievo,Atalanta,1,1,14,17,2014/2015,1,2,362,0,-3
Empoli,Sampdoria,1,1,15,7,2014/2015,1,2,363,0,8
Palermo,Fiorentina,2,3,11,6,2014/2015,1,5,364,-1,5
Parma Calcio 1913,Verona,2,2,20,12,2014/2015,1,4,365,0,8
Udinese,Sassuolo,0,1,16,14,2014/2015,1,1,366,-1,2
Lazio,Roma,1,2,3,2,2014/2015,1,3,367,-1,1
Atalanta,AC Milan,1,3,17,10,2014/2015,1,4,368,-2,7
Verona,Juventus,2,2,13,1,2014/2015,1,4,369,0,12
Cagliari,Udinese,4,3,18,16,2014/2015,1,7,370,1,2
Fiorentina,Chievo,3,0,5,14,2014/2015,1,3,371,3,-9
Inter,Empoli,4,3,8,15,2014/2015,1,7,372,1,-7
Napoli,Lazio,2,4,5,3,2014/2015,1,6,373,-2,2
Roma,Palermo,1,2,2,11,2014/2015,1,3,374,-1,-9
Sampdoria,Parma Calcio 1913,2,2,8,19,2014/2015,1,4,375,0,-11
Sassuolo,Genoa,3,1,12,6,2014/2015,1,4,376,2,6
Torino,Cesena,5,0,10,20,2014/2015,1,5,377,5,-10
Lazio,Bologna,2,1,12,3,2015/2016,1,3,378,1,9
Verona,Roma,1,1,19,14,2015/2016,1,2,379,0,5
Empoli,Chievo,1,3,8,7,2015/2016,1,4,380,-2,1
Fiorentina,AC Milan,2,0,8,5,2015/2016,1,2,381,2,3
Frosinone,Torino,1,2,8,16,2015/2016,1,3,382,-1,-8
